duration,balance,age,day,pdays,y
261,2143,58,5,-1,0
151,29,44,5,-1,0
76,2,33,5,-1,0
92,1506,47,5,-1,0
198,1,33,5,-1,0
139,231,35,5,-1,0
217,447,28,5,-1,0
380,2,42,5,-1,0
50,121,58,5,-1,0
55,593,43,5,-1,0
222,270,41,5,-1,0
137,390,29,5,-1,0
517,6,53,5,-1,0
71,71,58,5,-1,0
174,162,57,5,-1,0
353,229,51,5,-1,0
98,13,45,5,-1,0
38,52,57,5,-1,0
219,60,60,5,-1,0
54,0,33,5,-1,0
262,723,28,5,-1,0
164,779,56,5,-1,0
160,23,32,5,-1,0
342,50,25,5,-1,0
181,0,40,5,-1,0
172,-372,44,5,-1,0
296,255,39,5,-1,0
127,113,52,5,-1,0
255,-246,46,5,-1,0
348,265,36,5,-1,0
225,839,57,5,-1,0
230,378,49,5,-1,0
208,39,60,5,-1,0
226,0,59,5,-1,0
336,10635,51,5,-1,0
242,63,57,5,-1,0
365,-7,25,5,-1,0
1666,-3,53,5,-1,0
577,506,36,5,-1,0
137,0,37,5,-1,0
160,2586,44,5,-1,0
180,49,50,5,-1,0
22,104,60,5,-1,0
1492,529,54,5,-1,0
616,96,58,5,-1,0
242,-171,36,5,-1,0
355,-364,58,5,-1,0
225,0,44,5,-1,0
160,0,55,5,-1,0
363,0,29,5,-1,0
266,1291,54,5,-1,0
253,-244,48,5,-1,0
179,0,32,5,-1,0
787,-76,42,5,-1,0
145,-103,24,5,-1,0
174,243,38,5,-1,0
104,424,38,5,-1,0
13,306,47,5,-1,0
185,24,40,5,-1,0
1778,179,46,5,-1,0
138,0,32,5,-1,0
812,989,53,5,-1,0
164,249,57,5,-1,0
391,790,33,5,-1,0
357,154,49,5,-1,0
91,6530,51,5,-1,0
528,100,60,5,-1,0
273,59,59,5,-1,0
158,1205,55,5,-1,0
177,12223,35,5,-1,0
258,5935,57,5,-1,0
172,25,31,5,-1,0
154,282,54,5,-1,0
291,23,55,5,-1,0
181,1937,43,5,-1,0
176,384,53,5,-1,0
211,582,44,5,-1,0
349,91,55,5,-1,0
272,0,49,5,-1,0
208,1,55,5,-1,0
193,206,45,5,-1,0
212,164,47,5,-1,0
20,690,42,5,-1,0
1042,2343,59,5,-1,1
246,137,46,5,-1,0
529,173,51,5,-1,0
1467,45,56,5,-1,1
1389,1270,41,5,-1,1
188,16,46,5,-1,0
180,486,57,5,-1,0
48,50,42,5,-1,0
213,152,30,5,-1,0
583,290,60,5,-1,0
221,54,60,5,-1,0
173,-37,57,5,-1,0
426,101,36,5,-1,0
287,383,55,5,-1,0
101,81,60,5,-1,0
203,0,39,5,-1,0
197,229,46,5,-1,0
257,-674,44,5,-1,0
124,90,53,5,-1,0
229,128,52,5,-1,0
55,179,59,5,-1,0
400,0,27,5,-1,0
197,54,44,5,-1,0
190,151,47,5,-1,0
21,61,34,5,-1,0
514,30,59,5,-1,0
849,523,45,5,-1,0
194,31,29,5,-1,0
144,79,46,5,-1,0
212,-34,56,5,-1,0
286,448,36,5,-1,0
107,81,59,5,-1,0
247,144,44,5,-1,0
518,351,41,5,-1,0
364,-67,33,5,-1,0
178,262,59,5,-1,0
98,0,57,5,-1,0
439,56,56,5,-1,0
79,26,51,5,-1,0
120,3,34,5,-1,0
127,41,43,5,-1,0
175,7,52,5,-1,0
262,105,33,5,-1,0
61,818,29,5,-1,0
78,-16,34,5,-1,0
143,0,31,5,-1,0
579,2476,55,5,-1,1
677,1185,55,5,-1,0
345,217,32,5,-1,0
185,1685,38,5,-1,0
100,802,55,5,-1,0
125,0,28,5,-1,0
193,94,23,5,-1,0
136,0,32,5,-1,0
73,0,43,5,-1,0
528,517,32,5,-1,0
541,265,46,5,-1,0
163,947,53,5,-1,0
301,3,34,5,-1,0
46,42,57,5,-1,0
204,37,37,5,-1,0
98,57,59,5,-1,0
71,22,33,5,-1,0
157,8,56,5,-1,0
243,293,48,5,-1,0
186,3,43,5,-1,0
579,348,54,5,-1,0
163,-19,51,5,-1,0
610,0,26,5,-1,0
2033,-4,40,5,-1,0
85,18,39,5,-1,0
114,139,50,5,-1,0
114,0,41,5,-1,0
57,1883,51,5,-1,0
238,216,60,5,-1,0
93,782,52,5,-1,0
128,904,48,5,-1,0
107,1705,48,5,-1,0
181,47,39,5,-1,0
303,176,47,5,-1,0
558,1225,40,5,-1,0
270,86,45,5,-1,0
228,82,26,5,-1,0
99,271,52,5,-1,0
240,1378,54,5,-1,0
673,184,54,5,-1,1
233,0,50,5,-1,0
1056,0,35,5,-1,0
250,1357,44,5,-1,0
252,19,53,5,-1,0
138,434,35,5,-1,0
130,92,60,5,-1,0
412,1151,53,5,-1,0
179,41,48,5,-1,0
19,51,34,5,-1,0
458,214,54,5,-1,0
717,1161,51,5,-1,0
313,37,31,5,-1,0
683,787,35,5,-1,0
1077,59,35,5,-1,0
416,253,38,5,-1,0
146,211,36,5,-1,0
167,235,58,5,-1,0
315,4384,40,5,-1,0
140,4080,54,5,-1,0
346,53,34,5,-1,0
562,0,31,5,-1,0
172,2127,51,5,-1,0
217,377,33,5,-1,0
142,73,55,5,-1,0
67,445,42,5,-1,0
291,243,34,5,-1,0
309,307,33,5,-1,0
248,155,38,5,-1,0
98,173,50,5,-1,0
256,400,43,5,-1,0
82,1428,61,5,-1,0
577,219,47,5,-1,0
286,7,48,5,-1,0
477,575,44,5,-1,0
611,298,35,5,-1,0
471,0,35,5,-1,0
381,5699,50,5,-1,0
42,176,41,5,-1,0
251,517,41,5,-1,0
408,257,39,5,-1,0
215,56,42,5,-1,0
287,-390,38,5,-1,0
216,330,53,5,-1,0
366,195,59,5,-1,0
210,301,36,5,-1,0
288,-41,54,5,-1,0
168,483,40,5,-1,0
338,28,47,5,-1,0
410,13,53,5,-1,0
177,965,46,5,-1,0
127,378,39,5,-1,0
357,219,40,5,-1,0
175,324,28,5,-1,0
300,-69,35,5,-1,0
136,0,55,5,-1,0
1419,205,43,5,-1,0
125,278,48,5,-1,0
213,1065,58,5,-1,0
27,34,33,5,-1,0
238,1033,36,5,-1,0
124,1467,53,5,-1,0
18,-12,47,5,-1,0
730,388,31,5,-1,0
746,294,57,5,-1,0
121,1827,53,5,-1,0
247,627,55,5,-1,0
40,25,45,5,-1,0
181,315,53,5,-1,0
79,0,37,5,-1,0
206,66,44,5,-1,0
389,-9,49,5,-1,0
127,349,46,5,-1,0
702,100,43,5,-1,0
151,0,38,5,-1,0
117,434,43,5,-1,0
232,3237,49,5,-1,0
408,275,42,5,-1,0
179,0,22,5,-1,0
39,207,40,5,-1,0
282,483,39,5,-1,0
714,2248,51,5,-1,0
50,428,49,5,-1,0
181,0,53,5,-1,0
142,0,34,5,-1,0
227,140,33,5,-1,0
119,297,50,5,-1,0
361,279,39,5,-1,0
73,901,59,5,-1,0
67,2573,30,5,-1,0
350,143,36,5,-1,0
332,475,40,5,-1,0
611,70,53,5,-1,0
113,318,34,5,-1,0
132,275,37,5,-1,0
58,742,42,5,-1,0
151,236,41,5,-1,0
89,25,30,5,-1,0
152,600,37,5,-1,0
611,-349,39,5,-1,0
110,183,41,5,-1,0
463,0,40,5,-1,0
562,0,42,5,-1,1
